Account ID,Account Type,Branch,Customer Type,Account Balance,KYC Status,Last Transaction Date,Email Contact Attempt,SMS Contact Attempt,Phone Call Attempt,Maturity Date,Account Status
ACC0021,Fixed Deposit,Sharjah,Retail,473629.25,Expired,2022-03-28,No,Yes,No,3/28/2027,Dormant
ACC0022,Savings/Call/Current,Dubai,Corporate,61426.37,Valid,2022-03-20,Yes,Yes,Yes,,Dormant
ACC0023,Safe Deposit,Fujairah,Youth,399940.45,Expired,2021-06-24,Yes,Yes,Yes,,Dormant
ACC0024,Fixed Deposit,Fujairah,Corporate,169306.77,Expired,2021-12-20,Yes,Yes,No,12/20/2026,Dormant
ACC0025,Fixed Deposit,Fujairah,VIP,128194.41,Expired,2021-05-15,No,Yes,No,5/15/2026,Dormant
ACC0026,Savings/Call/Current,Dubai,VIP,34943.15,Expired,2021-04-14,Yes,Yes,Yes,,Dormant
ACC0027,Investment,Fujairah,Corporate,156591.6,Valid,2021-06-27,Yes,No,Yes,,Dormant
ACC0028,Fixed Deposit,Sharjah,Corporate,112800.89,Valid,2021-03-25,No,Yes,Yes,3/25/2026,Dormant
ACC0029,Savings/Call/Current,Al Ain,Youth,192318.12,Expired,2021-04-03,No,No,Yes,,Dormant
ACC0030,Fixed Deposit,Abu Dhabi,Retail,213250.32,Valid,2021-05-14,No,No,Yes,5/14/2026,Dormant
ACC0031,Investment,Fujairah,Corporate,422280.59,Valid,2021-06-28,Yes,Yes,Yes,,Dormant
ACC0032,Safe Deposit,Fujairah,Youth,174958.82,Valid,2021-12-26,No,Yes,Yes,,Dormant
ACC0033,Savings/Call/Current,Abu Dhabi,Youth,452942.72,Valid,2021-09-20,No,No,Yes,,Dormant
ACC0034,Investment,Al Ain,VIP,216150.77,Valid,2021-05-23,Yes,Yes,Yes,,Dormant
ACC0035,Savings/Call/Current,Al Ain,Corporate,81523.73,Valid,2021-10-06,Yes,No,Yes,,Dormant
ACC0036,Savings/Call/Current,Fujairah,Corporate,357333.93,Valid,2021-06-04,Yes,No,No,,Dormant
ACC0037,Savings/Call/Current,Al Ain,VIP,173367.87,Valid,2022-04-09,No,No,Yes,,Dormant
ACC0038,Investment,Sharjah,Retail,332772.24,Valid,2021-08-13,No,Yes,Yes,,Dormant
ACC0039,Savings/Call/Current,Sharjah,Corporate,341295.41,Valid,2021-12-16,Yes,Yes,No,,Dormant
ACC0040,Fixed Deposit,Dubai,Retail,155694.81,Expired,2021-12-18,No,No,Yes,12/18/2026,Dormant
ACC0041,Safe Deposit,Abu Dhabi,VIP,356322.99,Expired,2021-12-09,Yes,Yes,Yes,,Dormant
ACC0042,Investment,Fujairah,VIP,62236.49,Valid,2021-12-03,No,No,No,,Dormant
ACC0043,Investment,Dubai,Youth,482921.66,Valid,2021-03-14,Yes,No,No,,Dormant
ACC0044,Investment,Fujairah,VIP,157191.27,Valid,2021-04-22,No,Yes,Yes,,Dormant
ACC0045,Investment,Fujairah,Corporate,278131.14,Valid,2021-12-25,No,Yes,Yes,,Dormant
ACC0046,Investment,Al Ain,VIP,182420.73,Expired,2021-12-22,Yes,Yes,No,,Dormant
ACC0047,Safe Deposit,Fujairah,VIP,128243.74,Valid,2021-10-12,No,Yes,No,,Dormant
ACC0048,Fixed Deposit,Fujairah,Retail,116937.59,Valid,2021-06-21,Yes,Yes,No,6/21/2026,Dormant
ACC0049,Safe Deposit,Abu Dhabi,Youth,11161.19,Expired,2021-10-24,No,Yes,Yes,,Dormant
ACC0050,Fixed Deposit,Abu Dhabi,Corporate,239585.11,Expired,2021-09-30,Yes,Yes,Yes,9/30/2026,Dormant
ACC0051,Fixed Deposit,Fujairah,Youth,213045.53,Valid,2022-02-11,No,Yes,Yes,2/11/2027,Dormant
ACC0052,Fixed Deposit,Fujairah,Corporate,149103.67,Valid,2021-10-12,No,Yes,No,10/12/2026,Dormant
ACC0053,Safe Deposit,Abu Dhabi,Corporate,178786.69,Valid,2021-08-09,Yes,No,Yes,,Dormant
ACC0054,Savings/Call/Current,Abu Dhabi,VIP,24550.45,Expired,2021-05-24,No,Yes,No,,Dormant
ACC0055,Safe Deposit,Fujairah,Retail,439700.71,Valid,2021-06-06,Yes,No,No,,Dormant
ACC0056,Fixed Deposit,Sharjah,VIP,37215.7,Expired,2021-05-12,Yes,Yes,No,5/12/2026,Dormant
ACC0057,Safe Deposit,Sharjah,Corporate,392358.03,Valid,2021-09-07,No,No,Yes,,Dormant
ACC0058,Safe Deposit,Sharjah,VIP,14944.18,Expired,2021-10-09,No,No,No,,Dormant
ACC0059,Safe Deposit,Sharjah,Youth,193971.85,Valid,2021-12-12,No,No,No,,Dormant
ACC0060,Savings/Call/Current,Fujairah,Youth,240344.44,Expired,2022-01-30,No,Yes,No,,Dormant
ACC0061,Savings/Call/Current,Al Ain,Corporate,318768.56,Expired,2021-06-18,Yes,No,Yes,,Dormant
ACC0062,Investment,Al Ain,Retail,386694.01,Valid,2022-02-16,No,No,Yes,,Dormant
ACC0063,Fixed Deposit,Sharjah,Retail,278484.57,Expired,2021-04-03,No,No,No,4/3/2026,Dormant
ACC0064,Investment,Al Ain,Corporate,496611.07,Valid,2022-02-06,Yes,No,Yes,,Dormant
ACC0065,Investment,Dubai,Youth,8294.22,Expired,2021-09-12,No,No,No,,Dormant
ACC0066,Safe Deposit,Dubai,Youth,42182.69,Valid,2021-07-21,No,Yes,No,,Dormant
ACC0067,Investment,Fujairah,Corporate,98788.23,Expired,2021-08-21,Yes,Yes,No,,Dormant
ACC0068,Investment,Abu Dhabi,Corporate,11099.24,Expired,2021-03-24,Yes,No,Yes,,Dormant
ACC0069,Safe Deposit,Sharjah,VIP,108124.73,Valid,2021-07-18,No,No,No,,Dormant
ACC0070,Fixed Deposit,Dubai,Corporate,120062.18,Expired,2021-07-12,Yes,No,No,7/12/2026,Dormant
ACC0071,Investment,Dubai,Youth,312533.01,Valid,2022-01-31,No,No,No,,Dormant
ACC0072,Fixed Deposit,Abu Dhabi,VIP,154653.62,Valid,2021-12-10,No,No,Yes,12/10/2026,Dormant
ACC0073,Savings/Call/Current,Abu Dhabi,Youth,148832.37,Expired,2022-01-24,No,Yes,No,,Dormant
ACC0074,Safe Deposit,Fujairah,Corporate,363515.22,Valid,2022-01-27,No,No,Yes,,Dormant
ACC0075,Safe Deposit,Fujairah,Youth,247133.58,Expired,2021-11-05,Yes,Yes,No,,Dormant
ACC0076,Investment,Al Ain,Corporate,23104.33,Expired,2021-07-20,No,No,No,,Dormant
ACC0077,Fixed Deposit,Dubai,Retail,10812.88,Expired,2021-08-08,Yes,No,No,8/8/2026,Dormant
ACC0078,Safe Deposit,Abu Dhabi,Retail,104884.17,Valid,2022-03-31,Yes,Yes,Yes,,Dormant
ACC0079,Safe Deposit,Fujairah,Retail,155371.48,Valid,2021-09-12,No,No,No,,Dormant
ACC0080,Savings/Call/Current,Al Ain,Youth,188632.08,Expired,2021-05-04,Yes,No,Yes,,Dormant
ACC0081,Savings/Call/Current,Sharjah,Youth,36767.22,Valid,2021-08-22,Yes,No,No,,Dormant
ACC0082,Fixed Deposit,Abu Dhabi,Corporate,357868.66,Valid,2022-01-14,Yes,Yes,Yes,1/14/2027,Dormant
ACC0083,Fixed Deposit,Al Ain,Youth,91048.58,Expired,2021-07-08,Yes,No,No,7/8/2026,Dormant
ACC0084,Safe Deposit,Fujairah,Retail,164437.96,Valid,2021-08-27,No,Yes,No,,Dormant
ACC0085,Safe Deposit,Dubai,Youth,191940.01,Valid,2021-05-24,Yes,Yes,Yes,,Dormant
ACC0086,Investment,Fujairah,Corporate,315630.41,Valid,2021-11-08,Yes,Yes,No,,Dormant
ACC0087,Fixed Deposit,Sharjah,Retail,147359.56,Expired,2021-06-10,No,No,Yes,6/10/2026,Dormant
ACC0088,Fixed Deposit,Fujairah,VIP,143007.41,Expired,2021-04-18,Yes,No,No,4/18/2026,Dormant
ACC0089,Fixed Deposit,Al Ain,VIP,286312.92,Expired,2021-05-19,Yes,No,No,5/19/2026,Dormant
ACC0090,Investment,Al Ain,VIP,279799.2,Valid,2022-04-01,No,Yes,No,,Dormant
ACC0091,Fixed Deposit,Fujairah,Youth,192543.16,Expired,2021-08-13,No,Yes,No,8/13/2026,Dormant
ACC0092,Safe Deposit,Al Ain,Retail,316248.04,Expired,2021-07-21,Yes,No,No,,Dormant
ACC0093,Savings/Call/Current,Al Ain,Corporate,19298.44,Expired,2021-03-22,Yes,No,No,,Dormant
ACC0094,Safe Deposit,Sharjah,Corporate,17512.34,Expired,2021-10-24,No,No,Yes,,Dormant
ACC0095,Investment,Dubai,Corporate,170396.46,Valid,2022-02-08,No,No,Yes,,Dormant
ACC0096,Investment,Sharjah,VIP,164732.4,Expired,2022-01-21,No,Yes,No,,Dormant
ACC0097,Fixed Deposit,Abu Dhabi,Youth,425243.23,Expired,2021-06-29,Yes,Yes,No,6/29/2026,Dormant
ACC0098,Investment,Dubai,Corporate,205482.63,Expired,2022-01-25,No,No,Yes,,Dormant
ACC0099,Savings/Call/Current,Sharjah,Corporate,468557.31,Expired,2021-08-25,Yes,No,No,,Dormant
ACC0100,Fixed Deposit,Sharjah,Corporate,211758.78,Valid,2021-07-07,Yes,No,Yes,7/7/2026,Dormant
ACC0101,Safe Deposit,Dubai,Retail,38563.25,Valid,2021-11-19,No,Yes,No,,Dormant
ACC0102,Investment,Abu Dhabi,Retail,412357.91,Expired,2021-05-02,No,Yes,Yes,,Dormant
ACC0103,Savings/Call/Current,Al Ain,Youth,158941.05,Valid,2022-03-04,Yes,No,No,,Dormant
ACC0104,Fixed Deposit,Sharjah,VIP,8752.14,Valid,2021-09-28,No,Yes,No,9/28/2026,Dormant
ACC0105,Safe Deposit,Fujairah,Youth,298712.55,Expired,2021-04-10,Yes,Yes,Yes,,Dormant
ACC0106,Investment,Dubai,Corporate,134567.89,Expired,2022-01-18,Yes,No,No,,Dormant
ACC0107,Savings/Call/Current,Abu Dhabi,Retail,32145.67,Valid,2021-12-05,No,Yes,Yes,,Dormant
ACC0108,Fixed Deposit,Al Ain,Corporate,458790.12,Valid,2021-10-29,Yes,Yes,No,10/29/2026,Dormant
ACC0109,Investment,Sharjah,VIP,26789.01,Expired,2021-06-20,No,No,Yes,,Dormant
ACC0110,Safe Deposit,Fujairah,Retail,190123.45,Valid,2022-02-28,Yes,Yes,No,,Dormant
ACC0111,Fixed Deposit,Dubai,Youth,304567.89,Expired,2021-07-15,No,No,No,7/15/2026,Dormant
ACC0112,Savings/Call/Current,Abu Dhabi,VIP,417890.12,Valid,2021-08-03,Yes,Yes,Yes,,Dormant
ACC0113,Investment,Al Ain,Retail,11234.56,Expired,2022-03-17,No,Yes,No,,Dormant
ACC0114,Safe Deposit,Sharjah,Corporate,223456.78,Valid,2021-09-01,Yes,No,Yes,,Dormant
ACC0115,Fixed Deposit,Fujairah,VIP,334567.89,Valid,2021-11-25,No,No,No,11/25/2026,Dormant
ACC0116,Savings/Call/Current,Dubai,Youth,445678.9,Expired,2021-04-29,Yes,Yes,No,,Dormant
ACC0117,Investment,Abu Dhabi,Corporate,556789.01,Valid,2022-01-05,No,Yes,Yes,,Dormant
ACC0118,Safe Deposit,Al Ain,Retail,667890.12,Expired,2021-05-30,Yes,No,No,,Dormant
ACC0119,Fixed Deposit,Sharjah,Youth,778901.23,Valid,2021-10-19,No,No,Yes,10/19/2026,Dormant
ACC0120,Savings/Call/Current,Fujairah,VIP,889012.34,Valid,2022-02-01,Yes,Yes,Yes,,Dormant
ACC0121,Investment,Dubai,Retail,990123.45,Expired,2021-06-08,No,Yes,No,,Dormant
ACC0122,Safe Deposit,Abu Dhabi,Corporate,101234.56,Valid,2021-07-25,Yes,No,Yes,,Dormant
ACC0123,Fixed Deposit,Al Ain,VIP,112345.67,Expired,2022-03-02,No,No,No,3/2/2027,Dormant
ACC0124,Savings/Call/Current,Sharjah,Retail,123456.78,Valid,2021-08-18,Yes,Yes,No,,Dormant
ACC0125,Investment,Fujairah,Youth,134567.89,Valid,2021-12-29,No,Yes,Yes,,Dormant
ACC0126,Safe Deposit,Dubai,VIP,145678.9,Expired,2021-09-10,Yes,No,No,,Dormant
ACC0127,Fixed Deposit,Abu Dhabi,Retail,156789.01,Valid,2022-01-28,No,No,Yes,1/28/2027,Dormant
ACC0128,Savings/Call/Current,Al Ain,Corporate,167890.12,Expired,2021-04-07,Yes,Yes,Yes,,Dormant
ACC0129,Investment,Sharjah,Retail,178901.23,Valid,2021-11-15,No,Yes,No,,Dormant
ACC0130,Safe Deposit,Fujairah,Youth,189012.34,Valid,2021-05-20,Yes,No,No,,Dormant
ACC0131,Fixed Deposit,Dubai,Corporate,200123.45,Expired,2021-10-01,No,No,Yes,10/1/2026,Dormant
ACC0132,Savings/Call/Current,Abu Dhabi,Youth,211234.56,Valid,2022-02-18,Yes,Yes,No,,Dormant
ACC0133,Investment,Al Ain,VIP,222345.67,Expired,2021-06-15,No,Yes,Yes,,Dormant
ACC0134,Safe Deposit,Sharjah,Corporate,233456.78,Valid,2021-07-01,Yes,No,No,,Dormant
ACC0135,Fixed Deposit,Fujairah,VIP,244567.89,Valid,2022-03-25,No,No,No,3/25/2027,Dormant
ACC0136,Savings/Call/Current,Dubai,Retail,255678.9,Expired,2021-08-06,Yes,Yes,No,,Dormant
ACC0137,Investment,Abu Dhabi,Youth,266789.01,Valid,2021-12-08,No,Yes,Yes,,Dormant
ACC0138,Safe Deposit,Al Ain,Corporate,277890.12,Expired,2021-09-23,Yes,No,No,,Dormant
ACC0139,Fixed Deposit,Sharjah,Retail,288901.23,Valid,2022-01-11,No,No,Yes,1/11/2027,Dormant
ACC0140,Savings/Call/Current,Fujairah,Corporate,300123.45,Valid,2021-04-17,Yes,Yes,Yes,,Dormant
ACC0141,Investment,Dubai,VIP,311234.56,Expired,2021-11-02,No,Yes,No,,Dormant
ACC0142,Safe Deposit,Abu Dhabi,Retail,322345.67,Valid,2021-05-10,Yes,No,No,,Dormant
ACC0143,Fixed Deposit,Al Ain,Youth,333456.78,Valid,2021-10-05,No,No,Yes,10/5/2026,Dormant
ACC0144,Savings/Call/Current,Sharjah,Corporate,344567.89,Expired,2022-02-23,Yes,Yes,No,,Dormant
ACC0145,Investment,Fujairah,Retail,355678.9,Valid,2021-06-22,No,Yes,Yes,,Dormant
ACC0146,Safe Deposit,Dubai,Youth,366789.01,Expired,2021-07-10,Yes,No,No,,Dormant
ACC0147,Fixed Deposit,Abu Dhabi,VIP,377890.12,Valid,2022-03-12,No,No,No,3/12/2027,Dormant
ACC0148,Savings/Call/Current,Al Ain,Retail,388901.23,Valid,2021-08-31,Yes,Yes,No,,Dormant
ACC0149,Investment,Sharjah,Youth,400123.45,Expired,2021-12-15,No,Yes,Yes,,Dormant
ACC0150,Safe Deposit,Fujairah,Corporate,411234.56,Valid,2021-09-05,Yes,No,No,,Dormant
ACC0151,Fixed Deposit,Dubai,VIP,422345.67,Expired,2022-01-03,No,No,Yes,1/3/2027,Dormant
ACC0152,Savings/Call/Current,Abu Dhabi,Corporate,433456.78,Valid,2021-04-25,Yes,Yes,Yes,,Dormant
ACC0153,Investment,Al Ain,Youth,444567.89,Valid,2021-11-09,No,Yes,No,,Dormant
ACC0154,Safe Deposit,Sharjah,VIP,455678.9,Expired,2021-05-08,Yes,No,No,,Dormant
ACC0155,Fixed Deposit,Fujairah,Retail,466789.01,Valid,2021-10-26,No,No,Yes,10/26/2026,Dormant
ACC0156,Savings/Call/Current,Dubai,Corporate,477890.12,Expired,2022-02-09,Yes,Yes,No,,Dormant
ACC0157,Investment,Abu Dhabi,VIP,488901.23,Valid,2021-06-01,No,Yes,Yes,,Dormant
ACC0158,Safe Deposit,Al Ain,Youth,500123.45,Expired,2021-07-17,Yes,No,No,,Dormant
ACC0159,Fixed Deposit,Sharjah,Corporate,511234.56,Valid,2022-03-07,No,No,No,3/7/2027,Dormant
ACC0160,Savings/Call/Current,Fujairah,Retail,522345.67,Valid,2021-08-10,Yes,Yes,No,,Dormant
ACC0161,Investment,Dubai,Corporate,533456.78,Expired,2021-12-21,No,Yes,Yes,,Dormant
ACC0162,Safe Deposit,Abu Dhabi,VIP,544567.89,Valid,2021-09-19,Yes,No,No,,Dormant
ACC0163,Fixed Deposit,Al Ain,Retail,555678.9,Expired,2022-01-15,No,No,Yes,1/15/2027,Dormant
ACC0164,Savings/Call/Current,Sharjah,Youth,566789.01,Valid,2021-04-11,Yes,Yes,Yes,,Dormant
ACC0165,Investment,Fujairah,VIP,577890.12,Valid,2023-04-20,No,Yes,No,,Active
ACC0166,Safe Deposit,Dubai,Corporate,588901.23,Expired,2021-05-18,Yes,No,No,,Dormant
ACC0167,Fixed Deposit,Abu Dhabi,Youth,600123.45,Valid,2021-10-14,No,No,Yes,10/14/2026,Dormant
ACC0168,Savings/Call/Current,Al Ain,VIP,611234.56,Expired,2022-02-02,Yes,Yes,No,,Dormant
ACC0169,Investment,Sharjah,Corporate,622345.67,Valid,2021-06-26,No,Yes,Yes,,Dormant
ACC0170,Safe Deposit,Fujairah,Retail,633456.78,Valid,2023-09-13,Yes,No,No,,Active
ACC0171,Fixed Deposit,Dubai,Youth,644567.89,Expired,2022-03-29,No,No,No,3/29/2027,Dormant
ACC0172,Savings/Call/Current,Abu Dhabi,VIP,655678.9,Valid,2021-08-20,Yes,Yes,No,,Dormant
ACC0173,Investment,Al Ain,Retail,666789.01,Expired,2021-12-02,No,Yes,Yes,,Dormant
ACC0174,Safe Deposit,Sharjah,Youth,677890.12,Valid,2021-09-26,Yes,No,No,,Dormant
ACC0175,Fixed Deposit,Fujairah,Corporate,688901.23,Valid,2022-01-08,No,No,Yes,1/8/2027,Dormant
ACC0176,Savings/Call/Current,Dubai,VIP,700123.45,Expired,2021-04-01,Yes,Yes,Yes,,Dormant
ACC0177,Investment,Abu Dhabi,Retail,711234.56,Valid,2021-11-21,No,Yes,No,,Dormant
ACC0178,Safe Deposit,Al Ain,Corporate,722345.67,Expired,2021-05-28,Yes,No,No,,Dormant
ACC0179,Fixed Deposit,Sharjah,VIP,733456.78,Valid,2021-10-08,No,No,Yes,10/8/2026,Dormant
ACC0180,Savings/Call/Current,Fujairah,Youth,744567.89,Valid,2022-02-20,Yes,Yes,No,,Dormant
ACC0181,Investment,Dubai,Corporate,755678.9,Expired,2021-06-13,No,Yes,Yes,,Dormant
ACC0182,Safe Deposit,Abu Dhabi,Retail,766789.01,Valid,2021-07-03,Yes,No,No,,Dormant
ACC0183,Fixed Deposit,Al Ain,Youth,777890.12,Expired,2023-03-14,No,No,No,3/14/2027,Active
ACC0184,Savings/Call/Current,Sharjah,VIP,788901.23,Valid,2021-08-29,Yes,Yes,No,,Dormant
ACC0185,Investment,Fujairah,Retail,800123.45,Expired,2021-12-06,No,Yes,Yes,,Dormant
ACC0186,Safe Deposit,Dubai,Corporate,811234.56,Valid,2021-09-21,Yes,No,No,,Dormant
ACC0187,Fixed Deposit,Abu Dhabi,VIP,822345.67,Valid,2022-01-20,No,No,Yes,1/20/2027,Dormant
ACC0188,Savings/Call/Current,Al Ain,Retail,833456.78,Expired,2021-04-05,Yes,Yes,Yes,,Dormant
ACC0189,Investment,Sharjah,Youth,844567.89,Valid,2021-11-12,No,Yes,No,,Dormant
ACC0190,Safe Deposit,Fujairah,VIP,855678.9,Valid,2023-05-26,Yes,No,No,,Active
ACC0191,Fixed Deposit,Dubai,Retail,866789.01,Expired,2021-10-17,No,No,Yes,10/17/2026,Dormant
ACC0192,Savings/Call/Current,Abu Dhabi,Corporate,877890.12,Valid,2022-02-13,Yes,Yes,No,,Dormant
ACC0193,Investment,Al Ain,VIP,888901.23,Expired,2021-06-17,No,Yes,Yes,,Dormant
ACC0194,Safe Deposit,Sharjah,Retail,900123.45,Valid,2021-07-08,Yes,No,No,,Dormant
ACC0195,Fixed Deposit,Fujairah,Youth,911234.56,Valid,2022-03-01,No,No,No,3/1/2027,Dormant
ACC0196,Savings/Call/Current,Dubai,Corporate,922345.67,Expired,2021-08-04,Yes,Yes,No,,Dormant
ACC0197,Investment,Abu Dhabi,Retail,933456.78,Valid,2021-12-31,No,Yes,Yes,,Dormant
ACC0198,Safe Deposit,Al Ain,Youth,944567.89,Expired,2021-09-03,Yes,No,No,,Dormant
ACC0199,Fixed Deposit,Sharjah,Corporate,955678.9,Valid,2022-01-26,No,No,Yes,1/26/2027,Dormant
ACC0200,Savings/Call/Current,Fujairah,VIP,966789.01,Valid,2021-04-19,Yes,Yes,Yes,,Dormant
ACC0201,Investment,Dubai,Youth,977890.12,Expired,2021-11-05,No,Yes,No,,Dormant
ACC0202,Safe Deposit,Abu Dhabi,Corporate,988901.23,Valid,2021-05-11,Yes,No,No,,Dormant
ACC0203,Fixed Deposit,Al Ain,VIP,999012.34,Valid,2021-10-20,No,No,Yes,10/20/2026,Dormant
ACC0204,Savings/Call/Current,Sharjah,Retail,10012.34,Expired,2022-02-15,Yes,Yes,No,,Dormant
ACC0205,Investment,Fujairah,Corporate,20234.56,Valid,2021-06-29,No,Yes,Yes,,Dormant
ACC0206,Safe Deposit,Dubai,VIP,30345.67,Expired,2021-07-16,Yes,No,No,,Dormant
ACC0207,Fixed Deposit,Abu Dhabi,Youth,40456.78,Valid,2022-03-08,No,No,No,3/8/2027,Dormant
ACC0208,Savings/Call/Current,Al Ain,Corporate,50567.89,Valid,2021-08-17,Yes,Yes,No,,Dormant
ACC0209,Investment,Sharjah,VIP,60678.9,Expired,2021-12-24,No,Yes,Yes,,Dormant
ACC0210,Safe Deposit,Fujairah,Retail,70789.01,Valid,2021-09-08,Yes,No,No,,Dormant
ACC0211,Fixed Deposit,Dubai,Youth,80890.12,Valid,2022-01-06,No,No,Yes,1/6/2027,Dormant
ACC0212,Savings/Call/Current,Abu Dhabi,VIP,90901.23,Expired,2021-04-27,Yes,Yes,Yes,,Dormant
ACC0213,Investment,Al Ain,Retail,101012.34,Valid,2021-11-16,No,Yes,No,,Dormant
ACC0214,Safe Deposit,Sharjah,Corporate,111123.45,Expired,2021-05-13,Yes,No,No,,Dormant
ACC0215,Fixed Deposit,Fujairah,VIP,121234.56,Valid,2021-10-22,No,No,Yes,10/22/2026,Dormant
ACC0216,Savings/Call/Current,Dubai,Youth,131345.67,Valid,2022-02-04,Yes,Yes,No,,Dormant
ACC0217,Investment,Abu Dhabi,Corporate,141456.78,Expired,2021-06-07,No,Yes,Yes,,Dormant
ACC0218,Safe Deposit,Al Ain,Retail,151567.89,Valid,2021-07-28,Yes,No,No,,Dormant
ACC0219,Fixed Deposit,Sharjah,Youth,161678.9,Valid,2022-03-10,No,No,No,3/10/2027,Dormant
ACC0220,Savings/Call/Current,Fujairah,VIP,171789.01,Expired,2021-08-23,Yes,Yes,No,,Dormant
ACC0221,Investment,Dubai,Retail,181800.12,Valid,2021-12-09,No,Yes,Yes,,Dormant
ACC0222,Safe Deposit,Abu Dhabi,Corporate,191911.23,Expired,2021-09-14,Yes,No,No,,Dormant
ACC0223,Fixed Deposit,Al Ain,VIP,202022.34,Valid,2022-01-31,No,No,Yes,1/31/2027,Dormant
ACC0224,Savings/Call/Current,Sharjah,Retail,212133.45,Valid,2021-04-08,Yes,Yes,Yes,,Dormant
ACC0225,Investment,Fujairah,Youth,222244.56,Expired,2021-11-23,No,Yes,No,,Dormant
ACC0226,Safe Deposit,Dubai,VIP,232355.67,Valid,2021-05-16,Yes,No,No,,Dormant
ACC0227,Fixed Deposit,Abu Dhabi,Retail,242466.78,Expired,2021-10-28,No,No,Yes,10/28/2026,Dormant
ACC0228,Savings/Call/Current,Al Ain,Corporate,252577.89,Valid,2022-02-10,Yes,Yes,No,,Dormant
ACC0229,Investment,Sharjah,Retail,262688.9,Valid,2021-06-03,No,Yes,Yes,,Dormant
ACC0230,Safe Deposit,Fujairah,Youth,272799.01,Expired,2021-07-19,Yes,No,No,,Dormant
ACC0231,Fixed Deposit,Dubai,Corporate,282810.12,Valid,2022-03-06,No,No,No,3/6/2027,Dormant
ACC0232,Savings/Call/Current,Abu Dhabi,Youth,292921.23,Expired,2021-08-11,Yes,Yes,No,,Dormant
ACC0233,Investment,Al Ain,VIP,303032.34,Valid,2021-12-28,No,Yes,Yes,,Dormant
ACC0234,Safe Deposit,Sharjah,Corporate,313143.45,Valid,2021-09-16,Yes,No,No,,Dormant
ACC0235,Fixed Deposit,Fujairah,VIP,323254.56,Expired,2022-01-04,No,No,Yes,1/4/2027,Dormant
ACC0236,Savings/Call/Current,Dubai,Retail,333365.67,Valid,2021-04-21,Yes,Yes,Yes,,Dormant
ACC0237,Investment,Abu Dhabi,Youth,343476.78,Expired,2021-11-07,No,Yes,No,,Dormant
ACC0238,Safe Deposit,Al Ain,Corporate,353587.89,Valid,2021-05-09,Yes,No,No,,Dormant
ACC0239,Fixed Deposit,Sharjah,Retail,363698.0,Expired,2021-10-11,No,No,Yes,10/11/2026,Dormant
ACC0240,Savings/Call/Current,Fujairah,Corporate,373709.11,Valid,2022-02-25,Yes,Yes,No,,Dormant
ACC0241,Investment,Dubai,VIP,383820.22,Valid,2021-06-24,No,Yes,Yes,,Dormant
ACC0242,Safe Deposit,Abu Dhabi,Retail,393931.33,Expired,2021-07-14,Yes,No,No,,Dormant
